sentence,course,program
"Integration of writing, editing, and layout skills in producing agricultural publications.",AGC-407,Agricultural Communication
Emphasis on using computer applications in designing publications.,AGC-407,Agricultural Communication
"Development of digital multimedia skills (audio and video) and techniques to produce content focusing on agriculture, science and technology topics.",AGC-225,Agricultural Communication
Emphasis on creating compelling digital stories to communicate critical agriculture and science issues.,AGC-225,Agricultural Communication
"Expansion of basic sales principles and skills, focusing on prospecting, sales styles, pipelining, forecasting, and product planning.",AGB-309,Agricultural Science
Directed group study of fresh fruit and vegetable sales and marketing.,AGB-445,Agricultural Science
"Analysis of marketing from the perspective of the Grower Shipper, Specialty Produce Marketer, Terminal Market Wholesaler, Food Broker, Food Service Supplier, Retailer and International Marketing.",AGB-445,Agricultural Science
Advanced use of computer technology to address professional demands in a variety of agricultural education situations.,AGED-410,Agricultural Science
"Practical application of computer applications as tools for presentations, informational aids, instruction, assessment, and other common uses.",AGED-410,Agricultural Science
Provide support to industry pre-professionals and pre-service teachers.,AGED-410,Agricultural Science
Basic handling skills of livestock; introductory selection of livestock; basic feedstuff identification and processing; and health care practices.,ASCI-232,Agricultural Science
Visitation to selected agribusinesses.,AGB-440,Agricultural Science
"Organization, operation, services and problems considered.",AGB-440,Agricultural Science
Advanced shop skills.,BRAE-481,Agricultural Science
"Carpentry, electricity, plumbing, surveying, power mechanics, tractor equipment operation and maintenance.",BRAE-481,Agricultural Science
"Fundamentals of the year-round operation of a fairgrounds facility to include budget management, vendor contracts, entertainment schedules, rental opportunities, master planning, and maintenance.",AGC-318,Agricultural Science
"Principles and procedures in planning, organizing, operating, and evaluating fairgrounds and facilities.",AGC-318,Agricultural Science
Individual projects.,BRAE-240,Agricultural Science
Innovation and entrepreneurship with application to the Food and Agriculture sector.,AGB-304,Agricultural Science
"Identification of opportunities, value proposition, Business Model Canvas (BMC), product market fit and market sizing, minimum viable product, and identification of target market consumers.",AGB-304,Agricultural Science
Project management of agricultural systems.,BRAE-419,Agricultural Systems Management
Emphasis placed on a team approach to problem solution.,BRAE-419,Agricultural Systems Management
"Case studies and student projects used to explore the following topics:  project leadership, project organization, communication, needs assessment, feasibility studies, cost analysis, decision making, solution implementation, and evaluation.",BRAE-419,Agricultural Systems Management
"Selection, application and use of hydraulic components and mechanical power transmission equipment.",BRAE-301,Agricultural Systems Management
Use of standardized circuit design procedures.,BRAE-301,Agricultural Systems Management
"Introduction to systems and technical management with application in agricultural business settings, including logistics, reliability, system behavior, causal loops, feedback and delay.",BRAE-317,Agricultural Systems Management
"Data analysis, systematic decision-making, and simulation.",BRAE-317,Agricultural Systems Management
"Fabrication systems including cutting, sawing, shearing, bending, welding, grinding, cleaning, painting and proper safety procedures.",BRAE-344,Agricultural Systems Management
"Experimental projects to include team design and construction, presentation, organization, and evaluation.",BRAE-344,Agricultural Systems Management
Applications of DC/AC electricity in agriculture.,BRAE-324,Agricultural Systems Management
National Electric Code regulations.,BRAE-324,Agricultural Systems Management
The wiring of agricultural structures and electrical distribution.,BRAE-324,Agricultural Systems Management
"Series, parallel and series-parallel circuits, R-L-C circuits, electric motors, electronics.",BRAE-324,Agricultural Systems Management
Physical properties of agricultural materials and their measurement.,BRAE-342,Agricultural Systems Management
"Strength of materials, material flow and transport, material deformation, shape and size classification, moisture relationships and biological interactions.",BRAE-342,Agricultural Systems Management
"Interactions between agricultural materials, the environment and equipment used to handle them.",BRAE-342,Agricultural Systems Management
"Computer activated controls as applied to agricultural machinery, agricultural structures, processing and irrigation industries.",BRAE-425,Agricultural Systems Management
"Encompassing control logic to evaluate stability behavior of systems of computer interfacing, data input and control output.",BRAE-425,Agricultural Systems Management
Examination of rhetorical principles and ethical rhetorical action.,ENGL-145,Agricultural Systems Management
Application of these principles and practices to arguments across a range of genres and media.,ENGL-145,Agricultural Systems Management
Evaluate credibility of evidence and sources.,ENGL-145,Agricultural Systems Management
Examination of rhetorical principles and ethical rhetorical action.,HNRS-145,Agricultural Systems Management
Application of these principles and practices to arguments across a range of genres and media.,HNRS-145,Agricultural Systems Management
Evaluate credibility of evidence and sources.,HNRS-145,Agricultural Systems Management
"Use of statics and dynamics to make original calculations, plans, sketches, graphics, drawings, schemes and layouts for the fabrication and construction of machines.",BRAE-343,Agricultural Systems Management
Project management of agricultural systems.,BRAE-418,Agricultural Systems Management
Emphasis placed on a team approach to problem solution.,BRAE-418,Agricultural Systems Management
"Case studies and student projects used to explore the following topics:  project leadership, project organization, communication, needs assessment, feasibility studies, cost analysis, decision making, solution implementation, and evaluation.",BRAE-418,Agricultural Systems Management
"Individual investigation, research, studies or surveys of selected problems.",BRAE-200,Agricultural Systems Management
Economics and functionality of various designs and construction materials.,BRAE-432,Agricultural Systems Management
Environmental factors affecting crop storage and animal housing.,BRAE-432,Agricultural Systems Management
Agricultural Systems Analysis investigates the interrelationships between sub-components in an overall system.,BRAE-203,Agricultural Systems Management
"Problem solving algorithms, network analysis, project planning techniques, and optimization.",BRAE-203,Agricultural Systems Management
"Companion animal anatomy and physiology, reproduction, nutrition, behavior, management, common parasites, and infectious diseases.",ASCI-227,Animal Science
Scientific method in studying the human-animal bond.,ASCI-227,Animal Science
Application of biological concepts to problems related to companion animals.,ASCI-227,Animal Science
Trends in pet industry including animal welfare issues.,ASCI-227,Animal Science
Training of weanling and yearling horses at halter.,ASCI-265,Animal Science
Selection of proper attire for the handler and equipment for the horse.,ASCI-265,Animal Science
"Application of safe, behavioral training techniques enabling the horse to accept handling, farrier and health care.",ASCI-265,Animal Science
